ID,English,German,Spanish,French,Italian,Korean,Polish,Portuguese,Russian,Slovak,Turkish,ChineseSimplified,Ukrainian,Japanese
TermsDatabase_commandTerms_0,,,,,,,,,,,,,,
TermsDatabase_customStrings_0,ตัวเลือก,Optionen,Opciones,Options,Opzioni,옵션,Opcje,Opções,Параметры,Možnosti,Seçenekler,选项,Параметри,Options
TermsDatabase_customStrings_1,ภาษา,Sprache,Idioma,Langue,Lingua,언어,Język,Idioma,Язык,Jazyk,Dil,语言,Мова,言語
TermsDatabase_customStrings_2,ข้อความทันที,Direkttext,Texto instantáneo,Texte instantané,Testo istantaneo,텍스트 즉시 표시,Natychmiastowy tekst,Texto Instantâneo,Отображение текста,Okamžitý text,Anında Metin,即时文本,Миттєвий текст,瞬時テキスト
TermsDatabase_customStrings_3,เล่นข้อความอัตโนมัติ,Text automatisch spielen,Autorreproducción de texto,Texte automatique,Avanti automatico,텍스트 자동 재생,Tekst automatycznego odtwarzania,Texto Automático,Автовоспроизведение диалогов,Automatické prehrávanie textu,Metni Otomatik Oynat,自动播放文本,Автоматичне відтворення тексту,テキスト自動再生
TermsDatabase_customStrings_4,หน่วงเวลา,Verzögerung,Demora,Délai,Ritardo,지연 시간,Opóźnienie,Definir Invervalo,Задержка,Oneskorenie,Gecikme,延迟,Затримка,遅延
TermsDatabase_customStrings_5,ระดับเสียงเอฟเฟกต์,Klangeffekte,Efectos de sonido,Volume SFX,Volume SFX,사운드 효과 음량,Głośność SFX,Volume Efeitos Sonoros,Громкость спецэффектов,Objem SFX,SFX Hacmi,SFX音量,Гучність SFX,SFX音量
TermsDatabase_customStrings_6,ระดับเสียงดนตรีประกอบ,Hintergrundmusik,Música de fondo,Volume BGM,Volume BGM,배경음악 음량,Głośność podkładu muzycznego,Volume Música de Fundo,Громкость музыки,Hlasitosť BGM,BGM Sesi,BGM音量,Гучність BGM,BGM音量
TermsDatabase_customStrings_7,ระดับเสียงบรรยากาศ,Hintergrundgeräusche,Sonido de fondo,Volume BGS,Volume BGS,배경 사운드 음량,Objętość BGS,Volume Sons de Fundo,Громкость звуков,Objem BGS,BGS Hacmi,BGS音量,Гучність BGS,BGS音量
TermsDatabase_customStrings_8,แถบแสง,Leuchtleiste,Barra luminosa,Barre lumineuse,Barra luminosa,라이트 바,Pasek świetlny,Barra de luz,Световая панель,Svetlý bar,Işık Çubuğu,灯条,Світлова панель,ライトバー
TermsDatabase_customStrings_9,การสั่น,Vibration,Vibración,Vibration,Vibrazione,진동,Wibracje,Vibração,Вибрация,Vibrácie,Titreşim,振动,Вібрація,振動
TermsDatabase_customStrings_10,ปกติ,Normal,Normal,Normal,Normale,일반,Normalna,Normal,Обычный,Normálne,Normal,普通,Звичайний,通常
TermsDatabase_customStrings_11,ทันที,Direkt,Instantáneo,Instantané,Istantaneo,즉시,Natychmiastowy,Instantâneo,Сразу,Okamžité,Ani,即时,Миттєво,瞬時
TermsDatabase_customStrings_12,ปิด,Aus,No,Arrêt,No,꺼짐,Wyłączony,Desligado,Выкл,Vypnuté,Kapalı,关,Вимкнено,オフ
TermsDatabase_customStrings_13,เปิด,An,Sí,Marche,Sì,켜짐,Włączony,Ligado,Вкл,Zapnuté,Açık,开,Увімкнено,オン
TermsDatabase_customStrings_14,ลำโพง,Lautsprecher,Altavoz,Haut-parleur,Altoparlante,스피커,Głośnik,Alto-falante,Динамик,Hovorca,Hoparlör,扬声器,Динамік,スピーカー
TermsDatabase_customStrings_15,รีเซ็ต,Zurücksetzen,Restablecer,Réinitialiser,Ripristina,초기화,Nastawić,Redefinir,Сброс,Resetovať,Sıfırla,重置,Скинути,リセット
TermsDatabase_customStrings_16,เปลี่ยนภาษาของเกม,Ändere die Sprache des Spiels,Cambia el idioma del juego.,Modifie la langue du jeu.,Cambia la lingua del gioco,게임 언어를 변경한다.,Zmień język gry,Mudar o idioma do jogo,Сменить язык игры,Zmeňte jazyk hry,Oyunun dilini değiştirin,更改游戏语言,Змінити мову гри,ゲーム言語を変更する
