ID,English,German,Spanish,French,Italian,Korean,Polish,Portuguese,Russian,Slovak,Turkish,ChineseSimplified,Ukrainian,Japanese
Map001_EV003_Page10_0_ShowText,คุณจะไปไหน,"""Wo gehen Sie hin?""",¿Qué está haciendo?,Où allez-vous ?,Dove va?,"""어디 가세요?""","""Dokąd pan idzie?""","""Onde você vai?""",Куда вы собрались?,Kam idete?,Nereye gidiyorsunuz?,“您要去哪儿？”,Куди ви?,どちらへ…？
Map001_EV003_Page10_0_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page10_1_ShowText,ฉัน . \\.. \\.. \\.\\.,"""Ich. \\.. \\..\\.""",Yo . \\.. \\.. \\.\\.,Euh.\\..\\..\\.\\.,Ecco. . . ,"""아, 그게. \\.. \\.. \\.\\.""","""Ja . \\.. \\.. \\.\\.""","""Eu . \\.. \\.. \\.\\.""",Я . \\.. \\.. \\.\\.,Ja len . \\.. \\.. \\.\\.,Ben . \\.. \\.. \\.\\.,“我……\\.\\.这个……\\.\\.”,Я.\\..\\..\\.\\.,あ…\\.\\.
Map001_EV003_Page10_1_ShowText_NameBox,ดร.วัตต์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV003_Page10_2_ShowText,ฉันต้องไปฉี่หน่อย,""". . . für kleine Doktoren.""",. . . tengo que ir a mear.,... Je vais juste pisser un coup.,. . . Mi scappa.,""". . . 잠깐 소변 좀 보려구요.""",""". . . Muszę iść się odlać.""",""". . . Preciso ir ao banheiro.""",. . . Мне нужно пойти отлить.,. . . musím si odskočiť na záchod.,. . . tuvalete gidiyordum.,“……去放水。”,…Мені треба відлити.,"ちょ…ちょっと…\\.\\.
ションベンです…"
Map001_EV003_Page10_2_ShowText_NameBox,ดร.วัตต์,Dr. Watts,Dr. Watts,Dr Watts,Dott. Watts,와츠 박사,Dr Watts,Dr. Watts,Д-р Уоттс,Dr. Watts,Dr. Watts,Dr. Watts,Д-р Воттс,ドクター・ワッツ
Map001_EV003_Page3_0_ShowText,แม่! \\.พวกเขามาแล้ว!,"""Mom! \\.Sie sind da!""",¡Ma! \\.¡Ya están aquí!,M’man ! \\.Y sont là !,Mamma! Sono arrivati! ,"""엄마! \\.그 사람들 왔어요!"" ","""Mamo! \\.Przyjechali!"" ","""Mãe! \\.Eles chegaram!""",Мам! \\.Они здесь!,"""Mami! \\.Už sú tu!"" ","""Anne! \\.Geldiler!""",“妈妈！\\.他们来了！”,Мам! \\.Вони тут!,ママー！\\.\\.おきゃくさん、きたよ！
Map001_EV003_Page4_0_ShowText,คุณวัตส์กับคุณโรสลีน \\.ใช่ไหมคะ,"""Dr. Watts und Dr. Rosalene, \\.nehme ich an?""","Dr. Watts y Dra. Rosalene, \\.supongo.","Dr Watts et Dr Rosalene, \\.je présume ?","Il dottor Watts e la dottoressa Rosalene, suppongo?","""닐 와츠 박사님과 에바 로잘린 박사님, \\.맞으시죠?""","""Dr Watts i dr Rosalene, \\.jak sądzę?""","""Dr. Watts e Dra. Rosalene, \\.presumo.""","Вы, должно быть, \\.доктор Уоттс и доктор Розалин?","Dr. Watts a Dr. Rosalene, \\.predpokladám..?","Dr. Watts ve Dr. Rosalene, \\.değil mi?",“两位一定就是Dr. Watts\\.以及Dr. Rosalene吧？”,"Я так розумію, \\.доктор Воттс і доктор Розалін?","ドクター・ワッツ、\\.\\.それから、
\\.\\.ドクター・ロザリーンですね？"
Map001_EV003_Page4_0_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
Map001_EV003_Page4_1_ShowText,ขอบคุณที่มาในเวลากระชั้นชิดแบบนี้นะคะ,"""Danke, dass Sie so kurzfristig herkommen konnten.""",Gracias por venir tan rápido.,Merci d’être venus aussi rapidement.,Grazie per averci raggiunto con così poco preavviso. ,"""금방 와주셔서 감사합니다."" ","""Przepraszam, że wezwałam was tak późno."" ","""Obrigada por virem tão em cima da hora.""","Слава Богу, вы успели!","Ďakujeme, že ste dokázali tak rýchlo prísť.",Bu kadar kısa bir sürede geldiğiniz için teşekkürler.,“你们能这么快赶来，真是太感谢了。”,"Дякую, що приїхали так швидко.",急にお呼び立てして、すみません。
Map001_EV003_Page4_1_ShowText_NameBox,ลิลลี่,Lily,Lily,Lily,Lily,릴리,Lily,Lily,Лили,Lily,Lily,Lily,Лілі,リリー
